date,P,T,ET,ONI,Q_obs
2010-03-12,2.03,15.72,2.06,1.19,2.46
2010-03-13,4.31,18.7,3.06,1.19,3.08
2010-03-14,1.8,16.81,2.15,1.19,2.3
2010-03-15,1.98,17.4,2.57,1.19,2.03
2010-03-16,3.03,16.67,2.34,1.19,1.64
2010-03-17,6.12,18.96,1.64,1.19,4.56
2010-03-18,2.22,18.47,2.73,1.19,3.41
2010-03-19,2.18,17.18,2.32,1.19,2.58
2010-03-20,2.12,16.08,2.43,1.19,2.52
2010-03-21,1.98,17.1,2.67,1.19,2.01
2010-03-22,2.65,18.22,3.54,1.19,2.73
2010-03-23,8.26,17.79,2.89,1.19,4.66
2010-03-24,3.0,17.71,2.89,1.19,2.72
2010-03-25,5.13,17.86,2.98,1.19,2.69
2010-03-26,4.78,18.53,3.23,1.19,3.06
2010-03-27,11.39,17.59,2.92,1.19,6.47
2010-03-28,2.05,18.2,2.94,1.19,2.98
2010-03-29,2.1,16.5,2.86,1.19,2.97
2010-03-30,3.52,20.76,2.24,1.19,2.39
2010-03-31,2.2,17.38,3.54,1.19,1.59
2010-04-01,5.34,17.98,3.43,0.95,4.02
2010-04-02,2.08,18.43,2.95,0.95,2.03
2010-04-03,2.17,17.28,2.13,0.95,3.01
2010-04-04,2.17,17.79,3.25,0.95,1.46
2010-04-05,4.36,17.79,2.49,0.95,3.33
2010-04-06,2.31,16.72,2.82,0.95,2.39
2010-04-07,4.61,18.35,2.34,0.95,3.76
2010-04-08,2.25,15.86,3.37,0.95,1.74
2010-04-09,10.8,19.96,2.52,0.95,5.29
2010-04-10,2.58,18.82,2.95,0.95,2.8
2010-04-11,4.18,18.65,2.05,0.95,3.86
2010-04-12,2.58,15.81,2.45,0.95,3.31
2010-04-13,2.27,16.95,2.47,0.95,2.45
2010-04-14,4.01,19.58,3.49,0.95,3.52
2010-04-15,2.38,22.9,3.37,0.95,2.67
2010-04-16,11.38,19.37,3.46,0.95,7.1
2010-04-17,3.21,19.18,2.57,0.95,3.17
2010-04-18,2.35,18.58,2.77,0.95,1.87
2010-04-19,6.67,16.94,2.54,0.95,4.67
2010-04-20,2.6,19.16,3.17,0.95,2.86
2010-04-21,3.93,16.65,2.74,0.95,3.72
2010-04-22,3.93,16.52,2.87,0.95,2.67
2010-04-23,2.99,16.45,2.67,0.95,2.89
2010-04-24,4.3,19.16,3.24,0.95,3.92
2010-04-25,3.29,17.92,2.43,0.95,3.16
2010-04-26,2.7,18.11,2.97,0.95,2.66
2010-04-27,6.5,17.98,3.44,0.95,5.34
2010-04-28,2.53,16.65,1.92,0.95,2.48
2010-04-29,2.61,17.19,2.87,0.95,3.41
2010-04-30,2.92,17.26,2.96,0.95,3.38
2010-05-01,10.65,16.31,3.13,0.72,6.39
2010-05-02,2.89,17.39,3.0,0.72,3.07
2010-05-03,2.63,16.7,2.65,0.72,2.99
2010-05-04,2.61,18.69,3.08,0.72,2.93
2010-05-05,4.05,18.79,2.62,0.72,3.29
2010-05-06,3.24,16.44,2.41,0.72,3.04
2010-05-07,3.65,17.63,2.21,0.72,3.31
2010-05-08,7.54,20.21,3.73,0.72,4.81
2010-05-09,2.8,16.81,2.8,0.72,2.9
2010-05-10,2.93,18.49,2.51,0.72,2.02
2010-05-11,3.25,18.1,2.92,0.72,3.21
2010-05-12,2.74,19.28,3.46,0.72,2.51
2010-05-13,2.72,18.31,3.24,0.72,1.82
2010-05-14,2.77,17.43,2.34,0.72,2.77
2010-05-15,9.69,18.02,1.55,0.72,6.2
2010-05-16,6.46,18.03,2.96,0.72,5.4
2010-05-17,4.55,17.82,2.42,0.72,3.8
2010-05-18,2.85,16.33,2.8,0.72,3.53
2010-05-19,3.84,19.4,3.39,0.72,4.17
2010-05-20,3.65,19.18,3.42,0.72,3.05
2010-05-21,4.57,16.63,3.29,0.72,3.78
2010-05-22,2.89,17.51,3.22,0.72,3.9
2010-05-23,3.37,17.59,3.44,0.72,3.27
2010-05-24,3.27,16.46,3.12,0.72,3.34
2010-05-25,4.99,15.6,3.03,0.72,3.76
2010-05-26,3.78,17.02,2.64,0.72,3.86
2010-05-27,4.02,17.38,2.19,0.72,3.71
2010-05-28,4.73,16.06,3.5,0.72,2.85
2010-05-29,3.21,17.99,2.82,0.72,3.05
2010-05-30,3.05,19.16,3.46,0.72,2.38
2010-05-31,8.09,18.75,2.69,0.72,5.56
2010-06-01,5.47,17.57,3.12,0.64,3.88
2010-06-02,15.15,15.5,1.45,0.64,9.7
2010-06-03,4.38,18.55,2.72,0.64,4.4
2010-06-04,6.51,17.85,2.74,0.64,4.77
2010-06-05,3.19,18.16,3.01,0.64,3.56
2010-06-06,2.98,19.96,3.52,0.64,3.83
2010-06-07,3.06,16.62,2.16,0.64,4.39
2010-06-08,4.29,14.14,2.49,0.64,3.84
2010-06-09,4.05,16.31,3.04,0.64,3.49
2010-06-10,6.62,18.13,3.76,0.64,6.06
2010-06-11,4.46,17.56,3.02,0.64,4.28
2010-06-12,3.03,16.05,2.32,0.64,3.8
2010-06-13,3.01,15.78,1.96,0.64,3.42
2010-06-14,3.68,17.03,3.39,0.64,3.84
2010-06-15,5.0,15.94,2.79,0.64,5.33
2010-06-16,9.72,18.04,2.8,0.64,6.89
2010-06-17,3.29,16.89,1.99,0.64,4.59
2010-06-18,3.39,16.61,2.22,0.64,4.03
2010-06-19,3.09,16.43,2.82,0.64,3.18
2010-06-20,3.77,17.63,2.89,0.64,3.61
2010-06-21,5.61,17.34,1.92,0.64,4.49
2010-06-22,12.36,17.5,2.98,0.64,8.21
2010-06-23,3.93,17.45,2.09,0.64,5.14
2010-06-24,7.88,17.12,3.21,0.64,6.23
2010-06-25,3.07,15.94,2.57,0.64,3.93
2010-06-26,3.84,16.27,2.36,0.64,4.05
2010-06-27,3.36,16.65,2.99,0.64,4.21
2010-06-28,10.93,19.57,3.18,0.64,6.96
2010-06-29,3.06,15.44,2.95,0.64,3.49
2010-06-30,7.51,16.53,2.61,0.64,6.66
2010-07-01,3.24,17.12,2.72,0.67,4.08
2010-07-02,6.27,16.61,2.48,0.67,5.52
2010-07-03,10.42,18.23,2.94,0.67,7.52
2010-07-04,3.01,16.54,3.26,0.67,4.53
2010-07-05,3.01,16.6,2.39,0.67,4.37
2010-07-06,6.7,17.83,3.03,0.67,5.46
2010-07-07,7.84,18.99,2.6,0.67,6.19
2010-07-08,6.69,18.48,2.04,0.67,6.13
2010-07-09,6.18,16.59,2.67,0.67,6.05
2010-07-10,7.51,16.66,2.75,0.67,6.54
2010-07-11,3.15,16.75,2.57,0.67,4.52
2010-07-12,4.0,16.84,2.03,0.67,5.07
2010-07-13,4.67,15.61,2.56,0.67,5.18
2010-07-14,3.07,17.72,2.86,0.67,3.95
2010-07-15,3.12,16.81,2.27,0.67,4.98
2010-07-16,5.35,16.47,2.03,0.67,5.24
2010-07-17,9.02,14.97,2.24,0.67,7.28
2010-07-18,3.07,16.54,2.84,0.67,3.34
2010-07-19,3.08,14.16,2.39,0.67,4.29
2010-07-20,3.78,15.7,2.1,0.67,4.19
2010-07-21,4.67,15.68,2.51,0.67,4.54
2010-07-22,3.01,16.67,2.96,0.67,5.33
2010-07-23,3.28,18.55,2.41,0.67,4.42
2010-07-24,5.19,16.94,2.67,0.67,5.71
2010-07-25,3.94,17.96,3.33,0.67,4.77
2010-07-26,2.97,16.96,2.13,0.67,4.61
2010-07-27,3.26,17.5,3.19,0.67,3.85
2010-07-28,4.44,18.35,3.5,0.67,5.18
2010-07-29,3.55,15.21,2.29,0.67,4.64
2010-07-30,3.05,15.1,2.23,0.67,3.98
2010-07-31,3.55,16.82,3.04,0.67,4.08
2010-08-01,3.04,15.98,2.42,0.71,3.74
2010-08-02,4.13,16.21,1.59,0.71,4.5
2010-08-03,4.64,15.62,2.4,0.71,4.51
2010-08-04,3.21,15.16,2.56,0.71,4.01
2010-08-05,4.02,17.79,3.06,0.71,4.91
2010-08-06,4.45,14.49,1.92,0.71,3.89
2010-08-07,3.83,16.6,2.48,0.71,4.65
2010-08-08,8.93,16.37,2.95,0.71,6.19
2010-08-09,3.77,13.81,2.15,0.71,4.91
2010-08-10,6.41,14.68,1.69,0.71,5.45
2010-08-11,7.24,14.85,2.82,0.71,6.03
2010-08-12,2.77,16.28,2.46,0.71,3.8
2010-08-13,7.34,15.13,2.81,0.71,5.04
2010-08-14,3.01,15.44,1.86,0.71,5.03
2010-08-15,2.8,13.76,2.12,0.71,3.48
2010-08-16,6.92,18.26,3.04,0.71,5.67
2010-08-17,3.21,15.52,2.39,0.71,3.57
2010-08-18,4.14,16.01,2.03,0.71,3.9
2010-08-19,3.16,14.73,1.35,0.71,4.15
2010-08-20,3.0,14.56,2.89,0.71,3.48
2010-08-21,4.94,17.6,2.84,0.71,4.07
2010-08-22,2.76,12.98,2.51,0.71,3.69
2010-08-23,2.68,15.58,2.81,0.71,2.79
2010-08-24,7.04,13.76,2.4,0.71,5.7
2010-08-25,3.35,14.7,2.18,0.71,3.96
2010-08-26,2.55,14.38,2.45,0.71,2.31
2010-08-27,3.27,13.94,2.76,0.71,3.48
2010-08-28,2.59,15.13,2.4,0.71,3.7
2010-08-29,2.7,11.98,2.66,0.71,2.86
2010-08-30,3.43,14.65,1.7,0.71,4.17
2010-08-31,2.69,14.89,1.69,0.71,3.76
2010-09-01,4.18,13.34,2.5,0.78,3.5
2010-09-02,4.43,16.75,2.29,0.78,4.17
2010-09-03,2.42,14.2,3.05,0.78,3.48
2010-09-04,3.56,14.6,2.82,0.78,3.15
2010-09-05,7.07,14.14,2.86,0.78,5.1
2010-09-06,5.49,14.73,2.66,0.78,5.19
2010-09-07,3.36,16.37,2.19,0.78,3.34
2010-09-08,3.74,17.74,2.1,0.78,4.17
2010-09-09,2.77,15.64,3.04,0.78,2.72
2010-09-10,2.93,16.02,1.9,0.78,3.46
2010-09-11,3.97,16.75,3.25,0.78,3.9
2010-09-12,2.72,14.96,2.61,0.78,2.02
2010-09-13,2.24,16.52,2.55,0.78,2.7
2010-09-14,3.03,15.56,2.61,0.78,3.47
2010-09-15,2.52,14.76,2.5,0.78,3.12
2010-09-16,3.91,14.99,2.27,0.78,3.4
2010-09-17,3.8,12.36,2.52,0.78,3.01
2010-09-18,5.18,14.87,2.89,0.78,4.44
2010-09-19,4.64,12.64,2.06,0.78,3.94
2010-09-20,5.47,12.52,1.74,0.78,4.88
2010-09-21,2.16,14.68,2.82,0.78,3.05
2010-09-22,2.86,13.09,1.25,0.78,3.27
2010-09-23,3.94,14.4,2.44,0.78,4.24
2010-09-24,4.71,14.55,2.58,0.78,3.74
2010-09-25,2.51,14.59,1.96,0.78,3.77
2010-09-26,2.02,13.26,2.48,0.78,3.44
2010-09-27,2.96,15.41,2.4,0.78,3.7
2010-09-28,2.85,14.2,2.01,0.78,3.09
2010-09-29,2.64,14.82,2.71,0.78,4.17
2010-09-30,1.98,12.84,1.59,0.78,2.88
2010-10-01,5.64,14.04,2.55,0.61,4.44
2010-10-02,6.06,15.56,1.64,0.61,4.8
2010-10-03,2.45,15.39,2.52,0.61,2.39
2010-10-04,1.93,13.25,2.11,0.61,3.39
2010-10-05,4.28,13.54,1.91,0.61,3.59
2010-10-06,7.19,12.99,2.2,0.61,5.71
2010-10-07,5.51,13.38,2.07,0.61,5.18
2010-10-08,3.45,12.47,2.39,0.61,3.88
2010-10-09,1.79,13.97,2.42,0.61,2.41
2010-10-10,3.84,14.89,2.51,0.61,3.48
2010-10-11,2.4,13.17,2.19,0.61,1.69
2010-10-12,3.76,13.99,2.01,0.61,3.63
2010-10-13,6.66,13.83,2.05,0.61,5.49
2010-10-14,6.66,15.35,2.5,0.61,4.98
2010-10-15,3.13,13.34,2.03,0.61,3.3
2010-10-16,1.98,13.37,2.55,0.61,2.73
2010-10-17,2.13,13.04,2.09,0.61,3.6
2010-10-18,5.46,12.68,2.15,0.61,4.51
2010-10-19,1.7,14.68,1.74,0.61,3.8
2010-10-20,3.08,13.87,2.56,0.61,2.99
2010-10-21,9.3,14.09,1.98,0.61,6.51
2010-10-22,1.65,15.55,2.02,0.61,2.68
2010-10-23,1.58,15.62,3.1,0.61,3.55
2010-10-24,1.55,12.04,2.18,0.61,2.71
2010-10-25,3.26,14.79,2.71,0.61,4.31
2010-10-26,2.22,14.28,2.42,0.61,2.58
2010-10-27,4.39,13.45,2.08,0.61,4.64
2010-10-28,1.81,14.4,2.15,0.61,2.69
2010-10-29,1.69,11.93,2.2,0.61,2.92
2010-10-30,8.77,15.76,2.92,0.61,5.09
2010-10-31,4.21,14.62,2.27,0.61,3.99
2010-11-01,3.29,12.96,2.87,0.78,2.69
2010-11-02,1.64,13.3,2.02,0.78,2.75
2010-11-03,1.49,11.96,1.34,0.78,1.88
2010-11-04,1.7,13.63,1.46,0.78,2.6
2010-11-05,4.89,13.43,1.44,0.78,4.65
2010-11-06,2.13,12.42,1.8,0.78,3.06
2010-11-07,5.31,14.95,2.25,0.78,3.52
2010-11-08,4.78,15.55,2.71,0.78,2.89
2010-11-09,3.18,13.99,2.19,0.78,3.5
2010-11-10,2.36,13.66,2.49,0.78,3.57
2010-11-11,1.3,14.56,2.3,0.78,1.79
2010-11-12,1.29,14.02,2.21,0.78,3.26
2010-11-13,1.28,12.75,1.78,0.78,2.23
2010-11-14,2.32,13.28,2.66,0.78,1.46
2010-11-15,1.25,13.71,1.54,0.78,1.38
2010-11-16,3.5,14.38,2.38,0.78,3.34
2010-11-17,1.59,14.1,2.14,0.78,2.19
2010-11-18,1.26,14.35,2.57,0.78,2.57
2010-11-19,1.2,12.28,1.93,0.78,1.26
2010-11-20,2.15,14.92,2.34,0.78,2.21
2010-11-21,1.92,14.14,2.11,0.78,2.07
2010-11-22,5.78,17.21,3.24,0.78,3.51
2010-11-23,1.58,13.69,2.15,0.78,1.76
2010-11-24,2.07,14.56,3.07,0.78,1.73
2010-11-25,1.35,17.58,2.85,0.78,1.7
2010-11-26,1.98,14.43,2.27,0.78,2.1
2010-11-27,1.21,14.13,2.16,0.78,1.71
2010-11-28,1.19,13.05,2.28,0.78,2.09
2010-11-29,1.11,16.08,2.28,0.78,0.81
2010-11-30,1.1,12.87,2.09,0.78,0.47
2010-12-01,2.41,14.8,2.32,1.23,2.34
2010-12-02,6.04,13.73,2.29,1.23,2.92
2010-12-03,1.18,14.09,2.35,1.23,1.23
2010-12-04,6.09,12.63,2.16,1.23,3.21
2010-12-05,9.0,15.97,2.53,1.23,4.5
2010-12-06,2.57,14.04,2.83,1.23,1.49
2010-12-07,4.99,12.94,2.21,1.23,3.08
2010-12-08,4.7,15.92,3.53,1.23,3.35
2010-12-09,1.23,13.83,2.2,1.23,1.86
2010-12-10,1.44,14.86,2.71,1.23,2.03
2010-12-11,1.03,15.49,2.13,1.23,1.42
2010-12-12,1.02,15.07,2.92,1.23,2.06
2010-12-13,3.57,11.89,1.6,1.23,2.48
2010-12-14,3.73,15.39,2.59,1.23,1.57
2010-12-15,7.33,14.46,2.16,1.23,4.45
2010-12-16,1.07,14.21,2.41,1.23,2.16
2010-12-17,3.22,14.5,2.18,1.23,2.34
2010-12-18,2.03,12.72,1.69,1.23,2.82
2010-12-19,1.0,14.91,2.23,1.23,1.26
2010-12-20,1.06,13.07,2.68,1.23,1.96
2010-12-21,6.9,14.39,2.44,1.23,4.87
2010-12-22,2.63,14.94,1.83,1.23,2.46
2010-12-23,1.0,16.07,2.95,1.23,1.59
2010-12-24,1.34,13.83,1.82,1.23,1.76
2010-12-25,5.47,16.58,2.88,1.23,4.12
2010-12-26,6.64,16.0,2.72,1.23,4.13
2010-12-27,2.55,14.38,2.5,1.23,3.42
2010-12-28,1.62,13.59,2.88,1.23,1.99
2010-12-29,3.55,13.22,1.75,1.23,2.53
2010-12-30,3.97,15.31,2.64,1.23,2.58
2010-12-31,1.69,14.13,2.72,1.23,1.94
2011-01-01,0.99,16.48,2.31,1.14,0.69
2011-01-02,2.08,14.26,1.94,1.14,1.89
2011-01-03,1.03,14.02,2.09,1.14,1.39
2011-01-04,1.62,15.41,2.54,1.14,1.82
2011-01-05,1.09,14.34,1.69,1.14,2.58
2011-01-06,1.13,15.21,2.6,1.14,1.48
2011-01-07,6.14,16.41,2.0,1.14,2.68
2011-01-08,1.19,15.4,2.93,1.14,1.07
2011-01-09,3.67,15.44,2.62,1.14,2.63
2011-01-10,1.59,15.57,3.2,1.14,1.54
2011-01-11,3.78,13.33,2.37,1.14,3.38
2011-01-12,4.39,15.86,2.36,1.14,3.36
2011-01-13,1.07,15.61,2.12,1.14,2.0
2011-01-14,6.39,16.53,2.67,1.14,3.57
2011-01-15,1.08,16.22,2.52,1.14,2.15
2011-01-16,3.83,15.28,2.87,1.14,2.13
2011-01-17,3.54,16.8,2.25,1.14,3.1
2011-01-18,1.68,15.24,3.19,1.14,1.48
2011-01-19,2.62,15.92,3.0,1.14,1.29
2011-01-20,1.74,15.28,2.31,1.14,2.06
2011-01-21,10.36,16.25,3.26,1.14,5.98
2011-01-22,1.24,15.27,2.08,1.14,1.62
2011-01-23,1.72,17.74,2.84,1.14,2.58
2011-01-24,1.21,18.21,2.32,1.14,0.81
2011-01-25,1.57,16.88,3.37,1.14,0.95
2011-01-26,1.16,17.71,2.1,1.14,1.46
2011-01-27,7.06,14.05,1.63,1.14,3.98
2011-01-28,1.3,14.23,1.98,1.14,1.41
2011-01-29,2.24,15.58,2.97,1.14,1.95
2011-01-30,2.08,16.05,2.89,1.14,1.53
2011-01-31,3.03,15.8,2.52,1.14,2.07
2011-02-01,1.22,14.1,2.62,0.98,1.63
2011-02-02,1.53,17.49,2.68,0.98,1.18
2011-02-03,6.96,18.72,3.08,0.98,3.77
2011-02-04,1.28,17.71,3.42,0.98,1.2
2011-02-05,5.95,17.51,2.63,0.98,2.95
2011-02-06,2.41,16.51,2.27,0.98,2.53
2011-02-07,1.5,15.26,2.58,0.98,2.5
2011-02-08,6.17,16.4,2.86,0.98,4.18
2011-02-09,3.94,18.87,2.97,0.98,2.89
2011-02-10,1.83,15.95,2.89,0.98,1.49
2011-02-11,4.29,15.86,2.4,0.98,2.85
2011-02-12,1.47,17.77,2.82,0.98,2.2
2011-02-13,1.37,17.89,2.93,0.98,0.44
2011-02-14,1.37,15.49,2.54,0.98,1.38
2011-02-15,1.58,16.23,3.18,0.98,1.82
2011-02-16,6.25,15.97,2.64,0.98,3.06
2011-02-17,1.83,16.69,2.48,0.98,2.0
2011-02-18,1.63,17.97,3.01,0.98,1.73
2011-02-19,1.5,15.71,2.86,0.98,0.73
2011-02-20,7.64,18.01,3.11,0.98,4.17
2011-02-21,2.49,16.86,2.92,0.98,1.7
2011-02-22,2.56,19.56,2.44,0.98,2.33
2011-02-23,2.21,17.19,1.68,0.98,2.46
2011-02-24,1.53,16.72,3.12,0.98,1.7
2011-02-25,1.59,17.56,2.91,0.98,1.53
2011-02-26,1.67,16.49,2.57,0.98,1.7
2011-02-27,1.51,14.77,2.59,0.98,0.85
2011-02-28,9.33,16.67,3.37,0.98,4.74
2011-03-01,3.09,16.68,3.17,0.81,1.83
2011-03-02,2.2,15.11,2.75,0.81,2.42
2011-03-03,1.71,16.96,2.29,0.81,2.1
2011-03-04,2.47,14.6,1.99,0.81,2.48
2011-03-05,9.67,16.69,1.65,0.81,6.44
2011-03-06,1.63,17.43,2.97,0.81,1.62
2011-03-07,5.2,17.28,3.14,0.81,3.08
2011-03-08,4.53,16.7,3.08,0.81,2.94
2011-03-09,1.85,17.11,2.94,0.81,1.14
2011-03-10,2.45,16.3,2.48,0.81,1.51
2011-03-11,1.7,17.28,2.47,0.81,2.21
2011-03-12,1.73,17.37,2.37,0.81,1.19
2011-03-13,1.8,16.24,2.47,0.81,1.31
2011-03-14,3.46,17.67,2.36,0.81,2.56
2011-03-15,9.93,17.69,3.46,0.81,5.19
2011-03-16,4.35,17.2,2.16,0.81,3.77
2011-03-17,3.72,20.33,3.07,0.81,2.9
2011-03-18,2.71,17.28,1.92,0.81,2.28
2011-03-19,2.31,17.14,2.79,0.81,2.76
2011-03-20,3.93,16.99,2.65,0.81,3.39
2011-03-21,1.88,16.35,2.41,0.81,1.44
2011-03-22,8.32,18.36,2.48,0.81,5.22
2011-03-23,3.83,16.74,2.61,0.81,2.79
2011-03-24,12.51,16.9,2.42,0.81,6.9
2011-03-25,4.66,16.96,2.59,0.81,4.83
2011-03-26,2.99,16.44,3.35,0.81,3.03
2011-03-27,2.68,15.54,2.5,0.81,2.86
2011-03-28,2.46,17.11,2.88,0.81,2.78
2011-03-29,2.78,18.73,2.72,0.81,3.31
2011-03-30,2.06,17.94,2.48,0.81,2.21
2011-03-31,3.93,19.59,3.03,0.81,2.98
2011-04-01,2.06,18.64,3.9,0.83,2.5
2011-04-02,2.24,18.38,2.74,0.83,1.69
2011-04-03,7.28,20.03,3.25,0.83,5.12
2011-04-04,2.42,17.67,2.42,0.83,1.88
2011-04-05,2.45,17.87,1.68,0.83,2.71
2011-04-06,9.54,17.8,2.45,0.83,5.12
2011-04-07,3.35,19.68,4.0,0.83,2.38
2011-04-08,13.49,17.84,3.01,0.83,8.46
2011-04-09,2.46,17.08,3.32,0.83,3.48
2011-04-10,2.63,18.57,2.75,0.83,3.67
2011-04-11,2.87,16.9,1.69,0.83,2.68
2011-04-12,2.25,18.53,2.44,0.83,2.39
2011-04-13,7.97,18.4,3.02,0.83,5.55
2011-04-14,3.07,17.69,2.85,0.83,3.64
2011-04-15,7.28,18.6,2.89,0.83,4.79
2011-04-16,4.03,16.15,2.31,0.83,3.64
2011-04-17,2.57,18.14,3.2,0.83,2.48
2011-04-18,10.66,17.39,2.51,0.83,7.73
2011-04-19,19.45,21.39,3.43,0.83,10.79
2011-04-20,5.46,18.15,2.9,0.83,5.19
2011-04-21,3.32,17.25,2.54,0.83,4.32
2011-04-22,2.65,16.32,2.2,0.83,4.54
2011-04-23,2.77,19.55,2.86,0.83,3.34
2011-04-24,3.86,17.56,3.48,0.83,4.68
2011-04-25,2.65,17.04,3.1,0.83,2.94
2011-04-26,7.66,18.4,3.27,0.83,6.37
2011-04-27,2.49,18.77,2.6,0.83,2.78
2011-04-28,6.13,18.76,2.34,0.83,5.27
2011-04-29,2.6,18.02,3.24,0.83,4.34
2011-04-30,2.59,18.19,3.19,0.83,3.79
2011-05-01,2.65,18.28,2.9,0.7,3.68
2011-05-02,4.19,18.4,2.71,0.7,3.66
2011-05-03,2.66,18.51,2.29,0.7,3.17
2011-05-04,2.89,19.31,3.34,0.7,4.01
2011-05-05,4.56,18.06,3.28,0.7,4.32
2011-05-06,7.01,17.01,2.38,0.7,5.92
2011-05-07,3.35,17.82,2.47,0.7,3.85
2011-05-08,3.65,18.89,3.43,0.7,3.55
2011-05-09,4.52,15.84,2.22,0.7,4.74
2011-05-10,2.71,15.84,3.19,0.7,3.41
2011-05-11,3.54,19.07,2.92,0.7,3.58
2011-05-12,2.71,19.79,2.91,0.7,2.53
2011-05-13,3.21,16.44,2.58,0.7,3.98
2011-05-14,7.1,18.07,2.66,0.7,5.53
2011-05-15,3.43,17.46,3.17,0.7,3.24
2011-05-16,5.6,17.62,3.1,0.7,5.14
2011-05-17,3.73,18.29,3.28,0.7,3.78
2011-05-18,2.86,16.37,2.63,0.7,3.5
2011-05-19,2.82,16.58,2.4,0.7,3.8
2011-05-20,3.56,17.54,2.73,0.7,3.92
2011-05-21,2.81,17.71,2.59,0.7,3.39
2011-05-22,6.97,16.52,3.17,0.7,4.95
2011-05-23,2.91,18.81,3.32,0.7,4.16
2011-05-24,6.99,17.35,2.67,0.7,4.85
2011-05-25,6.91,17.33,2.33,0.7,5.74
2011-05-26,3.48,18.16,3.44,0.7,3.53
2011-05-27,3.13,17.65,2.8,0.7,3.74
2011-05-28,3.89,18.8,2.87,0.7,4.43
2011-05-29,3.75,16.66,3.22,0.7,3.49
2011-05-30,3.08,16.08,2.31,0.7,3.82
2011-05-31,5.79,17.37,2.58,0.7,4.84
2011-06-01,2.94,17.8,2.68,0.26,3.13
